loss,values
8.407537,118.32443
8.113321,118.82238
7.911921,119.3114
8.0746155,119.80636
8.108982,120.29431
8.40033,120.77997
8.279663,121.26058
8.865913,121.74498
8.340949,122.237785
8.050983,122.725204
7.805084,123.20279
8.504456,123.686775
8.556366,124.17544
8.428314,124.66081
8.164276,125.15693
7.924988,125.643845
8.240814,126.13505
9.020548,126.61135
8.798798,127.103546
8.773529,127.57721
8.912356,128.07489
7.914096,128.56046
8.924072,129.04431
8.592468,129.52942
8.342665,130.0168
8.411835,130.51541
8.314972,130.98889
8.455536,131.48859
8.26712,131.96248
8.6805725,132.45444
7.7117615,132.94505
8.0332775,133.42194
8.864227,133.91823
8.212219,134.40744
8.892212,134.88629
7.8394165,135.37906
8.330688,135.87527
8.719727,136.35867
9.208891,136.83557
8.186013,137.34132
8.065613,137.83252
8.536156,138.31516
8.367096,138.80797
8.484159,139.28723
8.079651,139.76497
8.607109,140.25827
8.227081,140.73486
8.078503,141.22195
8.5563755,141.70148
7.87558,142.18854
8.312012,142.67355
8.870239,143.16302
8.680206,143.64417
8.66843,144.13606
8.715758,144.62119
8.8905945,145.09842
8.699007,145.58928
8.770477,146.0783
8.1015625,146.57362
7.888672,147.0746
8.509092,147.57077
8.234985,148.04799
8.582001,148.5314
8.711853,149.00412
8.631683,149.49185
8.457367,149.97409
7.953125,150.46796
8.347098,150.95752
8.916016,151.44247
8.478149,151.93564
8.780548,152.43082
8.042198,152.91202
8.600647,153.40022
7.9461975,153.89253
8.391846,154.37103
8.541252,154.8607
8.203918,155.34402
8.346487,155.82689
8.148865,156.30598
8.132538,156.78334
8.673508,157.27832
7.9378204,157.7767
8.168404,158.26578
8.431879,158.74857
8.845337,159.25237
8.578077,159.7442
8.694946,160.2209
8.931417,160.71027
8.369507,161.2005
8.524418,161.687
8.2751465,162.17685
8.225689,162.65091
8.293549,163.13597
8.797028,163.62032
8.674271,164.09868
9.094822,164.59924
8.392761,165.0896
8.068726,165.564
8.198875,166.04025
8.158921,166.53076
8.391968,167.00269
8.100754,167.48279
8.587276,167.98123
8.589905,168.46512
8.729523,168.95306
8.669368,169.43127
8.863739,169.91275
8.505994,170.39735
9.1729355,170.8795
8.655823,171.37271
8.527924,171.86438
